1PL	первое лицо, множественное число
1SG	первое лицо, единственное число
3PL	третье лицо, множественное число
3SG.F	третье лицо, единственное число, женский род
ABL	аблатив
ADV	наречие
BEN	бенефактив
CAR	каритив
DATALL	датив-аллатив
DATLOC	датив-локатив
DET	определитель
DETR	детранзитив
EP	эпентеза
GEN	родительный падеж
GEN.1SG	родительный падеж, первое лицо, единственное число
GEN.PL.NTH	родительный падеж, множественное число, нетематический класс
GEN.SG.M	родительный падеж, единственное число, мужской род
GEN.SG.NM	родительный падеж, единственное число, немужской класс
HES	хезитатив
IMPER	императив
INSTR	инструменталис
light verb	лёгкий глагол
LOC	местный падеж
MOD	модальное наречие
NEG	отрицание
Nominal inflection	Именное словоизменение
NTH	нетематический класс
O2.1PL.CORF	объектный показатель серии 2, первое лицо, множественное число, кореферентность
O2.1SG	объектный показатель серии 2, первое лицо, единственное число
O2.1SG.CORF	объектный показатель серии 2, первое лицо, единственное число, кореферентность
O2.3M.CORF	объектный показатель серии 2, третье лицо, мужской род, кореферентность
O2.3PL	объектный показатель серии 2, третье лицо, множественное число
O2.3PL.CORF	объектный показатель серии 2, третье лицо, множественное число, кореферентность
O2.3SG.M	объектный показатель серии 2, третье лицо, единственное число, мужской род
O2.3SG.M.CORF	объектный показатель серии 2, третье лицо, единственное число, мужской род, кореферентность
O2.3SG.TH	объектный показатель серии 2, третье лицо, единственное число, тематический класс
O2.3SG.TH.CORF	объектный показатель серии 2, третье лицо, единственное число, тематический класс, кореферентность
O3.1PL	объектный показатель серии 3, первое лицо, множественное число
O3.1PL.CORF	объектный показатель серии 3, первое лицо, множественное число, кореферентность
O3.1SG	объектный показатель серии 3, первое лицо, единственное число
O3.1SG.CORF	объектный показатель серии 3, первое лицо, единственное число, кореферентность
O3.2SG	объектный показатель серии 3, второе лицо, единственное число
O3.3M.SG	объектный показатель серии 3, третье лицо, мужской род, единственное число
O3.3PL	объектный показатель серии 3, третье лицо, множественное число
O3.3PL.CORF	объектный показатель серии 3, третье лицо, множественное число, кореферентность
O3.3PLCORF	объектный показатель серии 3: третье лицо, множественное число, кореферентность
O3.3SG.F	объектный показатель серии 3, третье лицо, единственное число, женский род
O3.3SG.M	объектный показатель серии 3, третье лицо, единственное число, мужской род
O3.3SG.TH	объектный показатель серии 3, третье лицо, единственное число, тематический класс
Object agreement	Объектное согласование
Other	Прочее
Other verb tags	Прочие глагольные пометы
PL	множественное число
POSS.PL.NTH	посессивность, множественное число, нетематический класс
PRED	предикатив
PRED.A	предикатив, прилагательное
PRED.NA	предикатив, неадъективный
Predicative form	Предикативная форма
PROL	пролатив
PRS	настоящее время
PST	прошедшее время
Reflexive form	Рефлексивная форма
S1.1	субъектный показатель серии 1, первое лицо
S1.2	субъектный показатель серии 1, второе лицо
S1.2PL	субъектный показатель серии 1, второе лицо, множественное число
S1.3	субъектный показатель серии 1, третье лицо
S1.3F	субъектный показатель серии 1, третье лицо, женский род
S1.3M	субъектный показатель серии 1, третье лицо, мужской род
S1.3TH	субъектный показатель серии 1, третье лицо, тематический класс
S1.PL	субъектный показатель серии 1, множественное число
S1.SG	субъектный показатель серии 1, единственное число
S2.3SG.TH	субъектный показатель серии 2, третье лицо, единственное число, тематический класс
S3.1PL	субъектный показатель серии 3, первое лицо, множественное число
S3.1SG	субъектный показатель серии 3, первое лицо, единственное число
S3.2SG	субъектный показатель серии 3, второе лицо, единственное число
S3.3M.SG	субъектный показатель серии 3, третье лицо, мужской род, единственное число
S3.3PL	субъектный показатель серии 3, третье лицо, множественное число
S3.3SG.F	субъектный показатель серии 3, третье лицо, единственное число, женский род
S3.3SG.M	субъектный показатель серии 3, третье лицо, единственное число, мужской род
S3.3SG.TH	субъектный показатель серии 3, третье лицо, единственное число, тематический класс
S3.3SH.F	субъектный показатель серии 3: класс 3SH, женский род?
SG	единственное число
Subject agreement	Субъектное согласование
T.PRS	временной показатель, настоящее время
T.PST	временной показатель, прошедшее время
Tense	Время
VOC	звательный падеж
